erp_sale_id,erp_vehicle_id,sale_date,sale_price,original_cost,sale_channel,buyer_type,days_on_market,profit_margin,dealer_discount,sales_person,finance_option,erp_last_updated
ERP_SAL000001,ERP_VH000001,2024-10-10,869146,773881,Online Auction,Private,21,0.123,0.02,Stephanie Blair,In-House Finance,2024-09-28 14:07
ERP_SAL000002,ERP_VH000002,2023-03-21,202770,181029,Online Auction,Private,54,0.12,0.04,Linda Mullins,Cash,2025-02-10 13:32
ERP_SAL000003,ERP_VH000003,2023-02-15,199550,215300,Dealer Network,Dealer,16,-0.073,0.05,Janet Frazier,Bank Finance,2025-05-14 15:43
ERP_SAL000004,ERP_VH000004,2024-12-27,650198,623079,Dealer Network,Fleet Buyer,10,0.044,0.04,Brandy Sullivan,Bank Finance,2024-11-21 07:43
ERP_SAL000005,ERP_VH000005,2025-03-20,528070,454075,Online Auction,Dealer,76,0.163,0.03,Mary Scott,Bank Finance,2024-11-13 23:00
ERP_SAL000006,ERP_VH000006,2025-05-15,662182,719316,Online Auction,Fleet Buyer,52,-0.079,0.07,Joshua Mann,Bank Finance,2025-02-27 05:30
ERP_SAL000007,ERP_VH000007,2025-01-15,774587,760633,Online Auction,Fleet Buyer,30,0.018,0.1,Melissa Buck,Bank Finance,2025-03-18 11:37
ERP_SAL000008,ERP_VH000008,2023-04-03,535300,468016,Dealer Network,Private,76,0.144,0.02,Michael Campbell,Bank Finance,2025-05-22 21:50
ERP_SAL000009,ERP_VH000009,2023-08-09,231502,197948,Retail Showroom,Private,52,0.17,0.06,Kimberly Kerr,Bank Finance,2025-01-11 15:29
ERP_SAL000010,ERP_VH000010,2024-08-11,479796,410137,Retail Showroom,Private,53,0.17,0.04,Patricia Banks,Cash,2025-06-20 19:12
ERP_SAL000011,ERP_VH000011,2023-07-11,327367,362742,Online Auction,Private,79,-0.098,0.09,Jeffrey Benson,Cash,2024-12-05 14:35
ERP_SAL000012,ERP_VH000012,2024-09-20,320329,357799,Online Auction,Private,15,-0.105,0.09,Justin King,Cash,2024-10-19 00:48
ERP_SAL000013,ERP_VH000013,2024-03-12,240939,220371,Dealer Network,Private,24,0.093,0.0,Sharon Smith,Cash,2024-08-03 22:17
ERP_SAL000014,ERP_VH000014,2022-12-25,404932,342494,Dealer Network,Fleet Buyer,47,0.182,0.03,Michelle Daniels,Cash,2025-04-30 16:24
ERP_SAL000015,ERP_VH000015,2023-07-26,512362,498607,Dealer Network,Private,30,0.028,0.07,Melissa Smith,Bank Finance,2024-12-28 15:01
ERP_SAL000016,ERP_VH000016,2023-12-12,655211,735254,Retail Showroom,Private,60,-0.109,0.01,Perry Smith,Cash,2025-01-07 17:12
ERP_SAL000017,ERP_VH000017,2022-08-14,275563,250976,Dealer Network,Fleet Buyer,46,0.098,0.08,Carol Foster,Cash,2025-04-02 00:33
ERP_SAL000018,ERP_VH000018,2023-12-28,653098,698219,Retail Showroom,Private,29,-0.065,0.01,Felicia Reynolds,Cash,2025-05-10 19:26
ERP_SAL000019,ERP_VH000019,2025-04-20,671482,633940,Dealer Network,Dealer,53,0.059,0.05,Tiffany Torres,Bank Finance,2024-09-10 22:12
ERP_SAL000020,ERP_VH000020,2023-11-05,727919,703765,Online Auction,Private,15,0.034,0.09,Tina Williams,Cash,2024-11-30 10:46
ERP_SAL000021,ERP_VH000021,2023-05-01,892764,758111,Online Auction,Private,76,0.178,0.05,Brittany Brown,Bank Finance,2024-10-08 13:28
ERP_SAL000022,ERP_VH000022,2023-04-24,361976,361743,Online Auction,Private,74,0.001,0.08,Richard Ball,Cash,2024-12-26 13:57
ERP_SAL000023,ERP_VH000023,2023-08-11,201317,213770,Online Auction,Private,88,-0.058,0.01,Carol Good,Cash,2024-08-25 05:51
ERP_SAL000024,ERP_VH000024,2023-12-02,864953,764652,Online Auction,Private,25,0.131,0.06,Darius Flowers,Cash,2025-03-21 16:52
ERP_SAL000025,ERP_VH000025,2023-05-29,510158,634065,Dealer Network,Private,88,-0.195,0.09,Joy Banks,Bank Finance,2024-08-25 07:27
ERP_SAL000026,ERP_VH000026,2024-03-11,265522,313145,Online Auction,Private,51,-0.152,0.0,Angela Blake,Bank Finance,2025-07-04 12:27
ERP_SAL000027,ERP_VH000027,2022-11-20,701289,655259,Dealer Network,Private,81,0.07,0.07,Laura Ballard,Bank Finance,2024-09-08 18:57
ERP_SAL000028,ERP_VH000028,2025-06-02,486507,467686,Online Auction,Fleet Buyer,9,0.04,0.04,Anna Matthews,Bank Finance,2024-08-17 10:26
ERP_SAL000029,ERP_VH000029,2024-11-24,775441,700674,Online Auction,Private,72,0.107,0.03,John Turner,Bank Finance,2025-04-06 17:19
ERP_SAL000030,ERP_VH000030,2022-12-26,721528,774956,Retail Showroom,Private,37,-0.069,0.04,Stephanie Chase,In-House Finance,2024-11-22 19:29
ERP_SAL000031,ERP_VH000031,2025-01-12,546173,483076,Dealer Network,Private,85,0.131,0.1,David Hill,Bank Finance,2025-03-14 19:17
ERP_SAL000032,ERP_VH000032,2023-10-31,212105,188035,Dealer Network,Fleet Buyer,26,0.128,0.09,Travis Turner,Cash,2024-07-17 10:10
ERP_SAL000033,ERP_VH000033,2022-12-25,589882,530293,Dealer Network,Private,61,0.112,0.05,Natalie Ingram,In-House Finance,2024-11-06 03:29
ERP_SAL000034,ERP_VH000034,2024-04-21,303804,319761,Dealer Network,Fleet Buyer,36,-0.05,0.03,Lindsey Hunt,In-House Finance,2024-08-02 03:45
ERP_SAL000035,ERP_VH000035,2022-10-02,428336,504368,Dealer Network,Dealer,26,-0.151,0.07,Mary Wilkerson,In-House Finance,2025-05-06 07:54
ERP_SAL000036,ERP_VH000036,2022-09-06,516101,585381,Online Auction,Fleet Buyer,57,-0.118,0.02,Ronald Smith,Cash,2025-07-01 19:08
ERP_SAL000037,ERP_VH000037,2024-01-27,208738,241475,Online Auction,Private,70,-0.136,0.08,Joan Harris,Cash,2025-03-11 23:56
ERP_SAL000038,ERP_VH000038,2022-07-14,598053,704416,Dealer Network,Private,62,-0.151,0.02,Aaron Jackson,In-House Finance,2024-11-04 19:09
ERP_SAL000039,ERP_VH000039,2024-10-04,467366,496544,Retail Showroom,Fleet Buyer,11,-0.059,0.06,Daryl Joseph III,Bank Finance,2024-09-05 07:19
ERP_SAL000040,ERP_VH000040,2023-01-03,302165,334000,Online Auction,Private,31,-0.095,0.01,William Mahoney,In-House Finance,2024-11-19 11:21
ERP_SAL000041,ERP_VH000041,2023-09-08,605301,679942,Dealer Network,Fleet Buyer,18,-0.11,0.06,Gabriel Joseph,Cash,2025-03-23 13:07
ERP_SAL000042,ERP_VH000042,2022-12-09,324509,317190,Online Auction,Fleet Buyer,9,0.023,0.01,Lindsey Sims,Cash,2024-12-03 21:56
ERP_SAL000043,ERP_VH000043,2024-01-12,475435,410626,Dealer Network,Private,82,0.158,0.07,Amber Goodman,Cash,2024-11-08 10:35
ERP_SAL000044,ERP_VH000044,2023-08-13,930027,781253,Retail Showroom,Fleet Buyer,86,0.19,0.04,Christine Reilly,Bank Finance,2024-12-07 16:12
ERP_SAL000045,ERP_VH000045,2025-01-17,659669,574927,Dealer Network,Private,72,0.147,0.05,Paul Brown,Bank Finance,2025-03-28 22:56
ERP_SAL000046,ERP_VH000046,2023-02-15,183557,160646,Online Auction,Private,43,0.143,0.02,Jeffrey Ramirez,Bank Finance,2025-01-23 12:59
ERP_SAL000047,ERP_VH000047,2023-10-04,697859,740010,Online Auction,Private,22,-0.057,0.04,Joanna Becker,Bank Finance,2024-12-29 10:33
ERP_SAL000048,ERP_VH000048,2024-09-30,341537,400079,Retail Showroom,Private,27,-0.146,0.04,Angela Rodriguez,Cash,2024-10-18 16:48
ERP_SAL000049,ERP_VH000049,2023-09-24,232463,253452,Online Auction,Private,52,-0.083,0.0,Warren Cervantes,Bank Finance,2024-08-07 12:50
ERP_SAL000050,ERP_VH000050,2023-04-01,229069,285389,Dealer Network,Private,76,-0.197,0.08,Kevin Simmons,Bank Finance,2025-02-22 07:18
ERP_SAL000051,ERP_VH000051,2022-10-15,679170,784681,Online Auction,Private,10,-0.134,0.09,Albert Becker,Bank Finance,2024-08-20 02:25
ERP_SAL000052,ERP_VH000052,2024-05-11,203053,210405,Online Auction,Fleet Buyer,43,-0.035,0.1,Mary Lane,Bank Finance,2025-01-23 18:34
ERP_SAL000053,ERP_VH000053,2022-08-04,406514,480214,Online Auction,Private,85,-0.153,0.04,Micheal Mcguire,Bank Finance,2024-07-18 12:49
ERP_SAL000054,ERP_VH000054,2023-08-29,634959,790937,Online Auction,Fleet Buyer,15,-0.197,0.1,Andrea Rice,Bank Finance,2025-01-27 01:07
ERP_SAL000055,ERP_VH000055,2023-07-02,604874,746894,Online Auction,Fleet Buyer,25,-0.19,0.03,Matthew Hogan,Bank Finance,2024-12-24 14:25
ERP_SAL000056,ERP_VH000056,2023-01-26,214440,262372,Dealer Network,Fleet Buyer,70,-0.183,0.08,William Kidd,Cash,2024-12-17 22:44
ERP_SAL000057,ERP_VH000057,2023-01-16,565360,541667,Dealer Network,Fleet Buyer,13,0.044,0.06,Lori Davis,Bank Finance,2024-08-22 19:22
ERP_SAL000058,ERP_VH000058,2023-12-25,692574,721631,Online Auction,Private,83,-0.04,0.04,Kayla Davis,Cash,2024-10-29 01:13
ERP_SAL000059,ERP_VH000059,2023-09-01,642838,575397,Retail Showroom,Dealer,89,0.117,0.07,Emily Dennis,Bank Finance,2025-06-20 02:19
ERP_SAL000060,ERP_VH000060,2024-06-12,426875,405052,Online Auction,Private,7,0.054,0.05,Eric Garza,Bank Finance,2025-03-08 10:21
ERP_SAL000061,ERP_VH000061,2024-08-31,358697,329810,Online Auction,Fleet Buyer,54,0.088,0.08,Phillip Brown,Bank Finance,2024-10-13 23:37
ERP_SAL000062,ERP_VH000062,2023-09-08,524997,536233,Online Auction,Private,76,-0.021,0.09,Shannon Campbell,Bank Finance,2024-09-11 00:06
ERP_SAL000063,ERP_VH000063,2024-05-04,570093,501185,Online Auction,Fleet Buyer,33,0.137,0.08,Andrew Gallagher,Bank Finance,2024-08-12 09:47
ERP_SAL000064,ERP_VH000064,2023-04-19,242209,294348,Online Auction,Fleet Buyer,30,-0.177,0.02,Veronica Ramirez,Bank Finance,2025-06-13 08:20
ERP_SAL000065,ERP_VH000065,2023-04-05,240757,227631,Dealer Network,Private,9,0.058,0.1,Eric Mendez,Bank Finance,2024-07-29 12:59
ERP_SAL000066,ERP_VH000066,2024-08-04,222028,252262,Dealer Network,Private,35,-0.12,0.01,Craig Gray,Bank Finance,2024-11-04 11:27
ERP_SAL000067,ERP_VH000067,2024-10-04,594003,681207,Online Auction,Fleet Buyer,63,-0.128,0.09,Lisa Alvarez,Bank Finance,2025-01-11 19:52
ERP_SAL000068,ERP_VH000068,2025-03-19,321849,294175,Dealer Network,Private,22,0.094,0.01,James Clark,Cash,2024-07-09 00:49
ERP_SAL000069,ERP_VH000069,2023-05-02,428369,533908,Retail Showroom,Private,31,-0.198,0.1,Erin Cox,Bank Finance,2025-04-25 03:16
ERP_SAL000070,ERP_VH000070,2025-04-13,293972,329236,Online Auction,Private,53,-0.107,0.01,Mrs. Michelle Gilbert,In-House Finance,2025-06-30 15:47
ERP_SAL000071,ERP_VH000071,2024-03-04,621707,658776,Dealer Network,Private,80,-0.056,0.03,James Graham,Cash,2024-08-03 19:09
